stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
ESNAUD-E,91404,"L'ESNAUDERIE",,47.593100,-0.549630,,,0,zone_L'ESNAUDERIE,,0
ESNAUDER,511998,"L'ESNAUDERIE",,47.593290,-0.549570,,,0,zone_L'ESNAUDERIE,,0
ESPAC AR,9410,"ESPACE ANJOU",,47.468201,-0.526101,,,0,zone_ESPACE_ANJOU,,0
ESPACE5A,8609,"ESPACE ANJOU",,47.467402,-0.520280,,,0,zone_ESPACE_ANJOU,,1
ESPACE5B,6519,"ESPACE ANJOU",,47.467579,-0.520496,,,0,zone_ESPACE_ANJOU,,1
ESPACEAN,18251,"ESPACE ANJOU",,47.468201,-0.526101,,,0,zone_ESPACE_ANJOU,,0
ESPAJEUN,28726,"MAISON DE LA DANSE",,47.488850,-0.584843,,,0,zone_MAISON_DE_LA_DANSE,,1
ESPJEU-E,1080,"MAISON DE LA DANSE",,47.488549,-0.585321,,,0,zone_MAISON_DE_LA_DANSE,,1
ESPLO-E,17768,"ESPACE LONGUENEE",,47.540193,-0.672815,,,0,zone_ESPACE_LONGUENEE,,1
ESP-LON,16227,"ESPACE LONGUENEE",,47.540101,-0.672920,,,0,zone_ESPACE_LONGUENEE,,1
ESPMON-E,34314,"ESPERANTO",,47.529489,-0.603669,,,0,zone_ESPERANTO,,1
ESPMONTR,15922,"ESPERANTO",,47.529476,-0.603652,,,0,zone_ESPERANTO,,1
ESSCA,86,"ESSCA",,47.476769,-0.599228,,,0,zone_ESSCA,,0
ESTAMI-E,673452,"ESTAMINET",,47.565950,-0.503510,,,0,zone_ESTAMINET,,0
ESTAMINE,579551,"ESTAMINET",,47.565708,-0.503868,,,0,zone_ESTAMINET,,0
ETAS,32370,"ETAS",,47.524514,-0.619963,,,0,zone_ETAS,,0
ETAS-E,15715,"ETAS",,47.524514,-0.619963,,,0,zone_ETAS,,0
EUROPE22,23739,"PLACE DE L'EUROPE",,47.487570,-0.526349,,,0,zone_PLACE_DE_L'EUROPE,,0
EVENT AR,7408,"EVENTARD",,47.497058,-0.515130,,,0,zone_EVENTARD,,1
EVENTA T,8776,"EVENTARD",,47.496844,-0.514914,,,0,zone_EVENTARD,,1
FACUL-SS,7400,"FACULTE",,47.479260,-0.550741,,,0,zone_FACULTE,,1
FACULT-E,30202,"FACULTE",,47.479300,-0.550745,,,0,zone_FACULTE,,1
FARCY,29337,"BALZAC",,47.472437,-0.576116,,,0,zone_BALZAC,,0
FARCY-E,1432,"BALZAC",,47.472596,-0.576244,,,0,zone_BALZAC,,0
FENCH-E,955983,"CHAMP FLEURI FENEU",,47.567840,-0.579510,,,0,zone_CHAMP_FLEURI_FENEU,,0
FENCHFL,815465,"CHAMP FLEURI FENEU",,47.567970,-0.579420,,,0,zone_CHAMP_FLEURI_FENEU,,0
FENEU AR,768933,"EGLISE DE FENEU",,47.569600,-0.594373,,,0,zone_EGLISE_DE_FENEU,,0
FENEU ZA,370674,"ZA FENEU ARRIVEE",,47.579177,-0.591380,,,0,zone_ZA_FENEU_ARRIVEE,,0
FENEUBUS,36001,"EGLISE DE FENEU",,47.569600,-0.594373,,,0,zone_EGLISE_DE_FENEU,,1
FFAURE,28159,"FELIX FAURE",,47.485654,-0.547323,,,0,zone_FELIX_FAURE,,0
FFAURE-E,13088,"FELIX FAURE",,47.485494,-0.546913,,,0,zone_FELIX_FAURE,,0
FIEFGENT,22382,"FIEF GENTIL",,47.533239,-0.526401,,,0,zone_FIEF_GENTIL,,0
FIEGEN-E,24053,"FIEF GENTIL",,47.533348,-0.525902,,,0,zone_FIEF_GENTIL,,0
FMEDEC-E,2930,"FACULTE DE MEDECINE",,47.487397,-0.552553,,,0,zone_FACULTE_DE_MEDECINE,,1
FMEDECIN,10330,"FACULTE DE MEDECINE",,47.487221,-0.552311,,,0,zone_FACULTE_DE_MEDECINE,,1
FMITTE-E,8589,"SAINT SERGE UNIVERSITE",,47.476582,-0.551105,,,0,zone_SAINT_SERGE_UNIVERSITE,,1
FMITTERA,6467,"SAINT SERGE UNIVERSITE",,47.476627,-0.551903,,,0,zone_SAINT_SERGE_UNIVERSITE,,1
FO-LOR-R,170,"FOCH MAISON BLEUE",,47.469676,-0.548908,,,0,zone_FOCH_MAISON_BLEUE,,1
FONTAI-E,26615,"LA FONTAINE FENEU",,47.569638,-0.590378,,,0,zone_LA_FONTAINE_FENEU,,0
FONTAINE,15253,"LA FONTAINE FENEU",,47.569642,-0.590497,,,0,zone_LA_FONTAINE_FENEU,,0
FONTVILL,63277,"LA FONTAINE VILLEVEQUE",,47.552087,-0.462222,,,0,zone_LA_FONTAINE_VILLEVEQUE,,1
FORGES,3128,"LES FORGES",,47.386446,-0.645219,,,0,zone_LES_FORGES,,0
FORGES-E,1732,"LES FORGES",,47.386263,-0.645127,,,0,zone_LES_FORGES,,0
FOUDON,534977,"FOUDON",,47.492220,-0.425360,,,0,zone_FOUDON,,0
FOUDON-E,375171,"FOUDON",,47.492170,-0.425180,,,0,zone_FOUDON,,0
FOUILLOU,322999,"LE FOUILLOUX",,47.417871,-0.668967,,,0,zone_LE_FOUILLOUX,,0
FOUQUE-E,28861,"FOUQUETTERIE",,47.468320,-0.705178,,,0,zone_FOUQUETTERIE,,0
FOUQUETT,1497,"FOUQUETTERIE",,47.467944,-0.705195,,,0,zone_FOUQUETTERIE,,0
FOUSSEAU,24740,"FOUSSEAUX",,47.515797,-0.468496,,,0,zone_FOUSSEAUX,,0
FOUSSE-E,25785,"FOUSSEAUX",,47.515809,-0.468593,,,0,zone_FOUSSEAUX,,0
FRANCA-E,27417,"FRANCAISERIE",,47.521492,-0.466192,,,0,zone_FRANCAISERIE,,1
FRANCAIS,26601,"FRANCAISERIE",,47.520897,-0.465829,,,0,zone_FRANCAISERIE,,1
FRANVI-E,13502,"VILLON",,47.433631,-0.522856,,,0,zone_VILLON,,1
FRANVILL,15918,"VILLON",,47.433755,-0.523110,,,0,zone_VILLON,,1
FRATE-E,71441,"FRATERNITE",,47.490860,-0.561750,,,0,zone_FRATERNITE,,1
FRATER,49164,"FRATERNITE",,47.490901,-0.560341,,,0,zone_FRATERNITE,,1
FRAVISCO,697386,"COLLEGE FRANCOIS VILLON",,47.433156,-0.522406,,,0,zone_COLLEGE_FRANCOIS_VILLON,,0
FRCEVE-E,15734,"CEVERT",,47.446702,-0.543656,,,0,zone_CEVERT,,1
FRCEVERT,14982,"CEVERT",,47.446262,-0.544096,,,0,zone_CEVERT,,1
FREMON-E,5869,"FREMOND",,47.485810,-0.561871,,,0,zone_FREMOND,,0
FREMONT,22950,"FREMOND",,47.485675,-0.561327,,,0,zone_FREMOND,,0
FREMUR,18974,"FREMUR",,47.458710,-0.558245,,,0,zone_FREMUR,,1
FREMUR-E,19151,"FREMUR",,47.458594,-0.558077,,,0,zone_FREMUR,,1
